LinkId,Geometry
123454,"LINESTRING(357683.72233 6688568.01502,357678.55224 6688560.75706,357671.88031 6688553.75215,357666.81831 6688551.55033,357616.22670 6688537.56372,357611.13427 6688536.15364)"
123455,"LINESTRING(357457.65003 6688610.78412,357460.28328 6688607.12825,357465.34466 6688600.07307,357468.41963 6688595.79105)"
123456,"LINESTRING(357468.41963 6688595.79105,357465.34466 6688600.07307,357460.28328 6688607.12825,357457.65003 6688610.78412)"
123457,"LINESTRING(357468.41963 6688595.79105,357469.80566 6688593.65317,357471.99324 6688590.28992,357475.21188 6688582.03878)"
123458,"LINESTRING(357475.21188 6688582.03878,357471.99324 6688590.28992,357469.80566 6688593.65317,357468.41963 6688595.79105)"
123459,"LINESTRING(357475.21188 6688582.03878,357476.88868 6688576.51303,357485.88695 6688538.98021,357486.94564 6688534.96970,357488.38457 6688531.77181,357490.49194 6688528.99173,357503.35710 6688513.12189,357506.19606 6688508.95357)"
123460,"LINESTRING(357506.19606 6688508.95357,357503.35710 6688513.12189,357490.49194 6688528.99173,357488.38457 6688531.77181,357486.94564 6688534.96970,357485.88695 6688538.98021,357476.88868 6688576.51303,357475.21188 6688582.03878)"
123461,"LINESTRING(357506.19606 6688508.95357,357507.20053 6688505.84739,357509.76222 6688497.24457,357520.75953 6688456.22591)"
123462,"LINESTRING(357520.75953 6688456.22591,357509.76222 6688497.24457,357507.20053 6688505.84739,357506.19606 6688508.95357)"
123468,"LINESTRING(357753.49455 6688511.00848,357716.10171 6688500.83680,357705.70199 6688497.83966)"
123469,"LINESTRING(357705.70199 6688497.83966,357699.88718 6688493.08863,357657.65835 6688482.14887,357628.63231 6688474.30147)"
123470,"LINESTRING(357475.21188 6688582.03878,357477.43399 6688582.57879,357482.00977 6688583.57337,357517.89287 6688591.34914,357555.08908 6688599.41691,357628.61981 6688623.26841,357631.46114 6688624.16235,357634.15038 6688624.51985,357637.26240 6688624.18552,357639.25007 6688623.41505,357640.79491 6688622.45858,357642.80439 6688620.21822,357648.67477 6688613.51732)"
123471,"LINESTRING(357648.67477 6688613.51732,357642.80439 6688620.21822,357640.79491 6688622.45858,357639.25007 6688623.41505,357637.26240 6688624.18552,357634.15038 6688624.51985,357631.46114 6688624.16235,357628.61981 6688623.26841,357555.08908 6688599.41691,357517.89287 6688591.34914,357482.00977 6688583.57337,357477.43399 6688582.57879,357475.21188 6688582.03878)"
123472,"LINESTRING(357506.19606 6688508.95357,357579.85264 6688528.36915,357597.02627 6688532.74641,357600.20516 6688533.57647,357601.98325 6688534.04186)"
123473,"LINESTRING(357617.26880 6688480.67224,357610.87016 6688479.22585,357573.96979 6688470.90707,357526.64825 6688458.95872,357523.59404 6688458.18830,357520.75953 6688456.22591)"
123474,"LINESTRING(357520.75953 6688456.22591,357523.59404 6688458.18830,357526.64825 6688458.95872,357573.96979 6688470.90707,357610.87016 6688479.22585,357617.26880 6688480.67224)"
123483,"LINESTRING(357718.46582 6688596.37372,357721.49695 6688593.30708,357730.38133 6688583.10671,357734.46243 6688581.42624,357739.76503 6688582.66861,357763.41304 6688605.15526,357767.47767 6688608.87187)"
